jogador,nome_jogador,total
Feniz,Thomas Molina,6000.0
Theory,Daniel Albadan Cardozo,6000.0
Jow,Juan Camilo Preciado Ordoñez,6000.0
Fresht,Juan Preciado,6000.0
Darker,Sebastián Cicuamia,6000.0
Virtyyyy,Leandro Moreno,6000.0
edu,Edgar Ovalle,6000.0
Minimise,Jackson White,5946.4
WAT,Lewis Watson,5946.4
YESican,"Đinh, Đình Đạt",5930.0
f1cio,"Hoàng, Ngọc Sơn",5930.0
Nizzy,"Nguyễn, Tấn Thành",5930.0
Gin,"Phan, Văn Gin",5930.0
LeVi,Rajiv Satpute,5833.33
jakee,Jake Anderson,5600.0
Kugio,Hamad Al-Thani,5557.5
Zimo,Abdullah Al Amri,5557.5
TTyke,Yosef Abdullah,5521.67
famouz,Fikri Zaki,5500.0
dip,Branden Dippel,5500.0
Akai,Saif Alnuaimi,5465.0
JinboongE,"Kim, Jin-won",5363.4
k1Ng,"Lee, Seung Won",5166.67
Fr4nky,Ibrahim Al-Rubaian,5166.67
TS,"Yu, Tae-seok",5166.67
eKo,"Yeom, Wang-ryong",5166.67
Meteor,"Kim, Tae-O",5166.67
rDeeW,Riley Wilkinson,5088.4
dragoN,Nicholas Aleksandrovsky,5088.4
Asuna,Peter Mazuryk,5000.0
NagZ,Juan Pablo Lopez Miranda,5000.0
foxz,Itthirit Ngamsaard,5000.0
Cryocells,Matthew Panganiban,5000.0
Crws,Thanamethk Mahatthananuyut,5000.0
sushiboys,Panyawat Subsiriroj,5000.0
stellar,Brenden Mcgrath,5000.0
Melser,Marco Eliot Machuca Amaro,5000.0
bang,Sean Bezerra,5000.0
Derrek,Derrek Ha,5000.0
blaZek1ng,Gary Dastin,5000.0
berserx,Rizkie Kusuma,5000.0
Severine,Michael Winata,5000.0
Shiro,Hildegard Arnaldo,5000.0
BerLin,"Zhang, Bolin",5000.0
Daveeys,Santiago Ruiz,5000.0
JitboyS,Jittana Nokngam,5000.0
garnetS,Apiwat Apiraksukumal,5000.0
Yuicaw,"Huang, Yung-Chieh",5000.0
AAAAY,"Zhang, Yang",5000.0
runi,Dylan Cade,5000.0
TZH,"Tang, Zhehao",5000.0
Hyzee,"Võ, Nhựt Huy",4922.0
LuZ,"Lim, Ui-jun",4920.2
SeliG,"Um, Hyun-sung",4920.2
Dazlly,Mohammed Sultan,4900.0
ExiT,Abdullah Al-Twaijri,4900.0
PLEEtS,Marcelo Leite,4853.5
krain,Gustavo Melara,4853.5
liazzi,Felipe Galiazzi,4853.5
flainzz,Felipe Saldanha,4853.5
pollo,Julio Silva,4853.5
falltw,Alexandr Chernukhin,4790.84
neveR,Vsevolod Suslov,4790.84
Kheops,Mokrani Anis,4758.33
DVDOV,Abdulrahman Alawadhi,4637.5
Sunday,"Kim, Min-soo",4597.8
SungJin,"Ko, Sung-jin",4597.8
Askia,Estevão -,4433.0
Petra,Petra Stoker,4365.08
mimimicheater,Michaela Lintrup,4365.08
Glance,Anastasia Anisimova,4365.08
roxi,Vivian Schilling,4365.08
wayLander,Jan Rahkonen,4325.33
NDG,Noel De Guia,4301.99
LEW,Luis Hibbert,4246.4
W1nner,"Wei Tsai, Hong",4233.33
ChiaWei,"Zhang, Chiawei",4233.33
RaiNy,"Li, Guo-Shuo",4233.33
XyuS,Shi Guan-yu,4233.33
xand,Alexandre Zizi,4224.0
havoc,Ilan Eloy,4180.0
shion,Gabriel Vilela,4174.0
artzin,Arthur Araújo,4174.0
GodDead,"Kim, Sung-sin",4166.67
Sylvan,"Ko, Young-sub",4166.67
kasper,Hussain Nawab,4161.67
Banger,"An, Hyung Gi",4129.8
empty,"Lee, Won Bin",4129.8
yoman,"Chae, Young Mun",4129.8
Wolverine,"Cho, Hyun tae",4129.8
JoXJo,"Cho, Byung-yeon",4111.75
clz,- -,4111.75
SyouTa,- -,4111.75
Xdll,Yuto Mizomori,4111.75
hiroronn,Hiroki Yanai,4111.75
shalaby,Mohamed Shalaby,4058.67
BONECOLD,Santeri Sassi,4000.0
Klaus,Nicolas Ferrari,4000.0
keznit,Angelo Mori,4000.0
molsi,Michał Łącki,4000.0
ceNder,Jokubas Labutis,4000.0
Destrian,Tomas Linikas,4000.0
Twisten,Karel Ašenbrener,4000.0
hvoya,Aleksandr Eremin,4000.0
Deadly10,Saksham Aurangabadkar,4000.0
HarsH.,Harsh Arora,4000.0
flabben,Daniil Merzlyakov,4000.0
Lysoar,"Liang, Youhao",4000.0
Bati,Miguel Batista,3960.98
Addicted,Eduardo Torres,3960.98
DaviH,David Cruz,3960.98
tomaszy,Tomás Machado,3960.98
Fizzy,David Figueiredo,3960.98
gMd^,Anthony Guimond,3800.0
Corey,Corey Nigra,3800.0
NaturE,Nicholas Garrison,3800.0
seven,Johann Hernandez,3800.0
A77,Aiden Hill,3700.0
Moobs,Gabriel Powell,3700.0
flare,Andy Le,3700.0
Nahsie,Eishan Jaffer,3700.0
Vash,Jessie Cuyco,3666.67
BORKUM,Jim Timbreza,3666.67
DubsteP,Jayvee Paguirigan,3666.67
invy,Jiggs Reyes,3666.67
JRemY,Jeremy Cabrera,3666.67
elllement,Dragan Milanović,3612.13
BennY,Benjamin Domgörgen,3612.13
azury,Luca Sammer,3612.13
Shazeon,Rene Cappel,3612.13
flowerful,Kayla Horton,3600.0
KP,Kiana Lytle,3600.0
sonder,"Zhang, Diana",3600.0
tryst,Jit Dutta Choudhury,3600.0
Lime,Jacob Foster,3555.67
YaBoiLewis,Lewis Hughes,3555.67
Ebeee,Abdulaziz Mohamed,3517.86
Luj,Luj Mansur,3511.29
madv,Modhi Alkanhal,3511.29
Ruzica,Dhay Alfahmi,3511.29
fznnn,Fernando Cerqueira,3451.5
bldV,Victor Junqueira,3451.5
Tisora,Kauã Martins,3451.5
jacobin,Guilherme Jacob,3451.5
komi,- -,3400.0
xZe,Tanawat Kannark,3299.04
Siraphop,Siraphop Honghirun,3299.04
JUGi,Jakob Hansen,3274.07
kpZET,Victor Steensgaard,3274.07
bezn1,Gabriel Luiz da Costa,3224.0
Vibhor,Vibhor Vaid,3200.0
Kishi,"Ngô, Trường Huy",3200.0
tixx,Nick Quinn,3200.0
Autumn,Kale Dunne,3200.0
Hoax,Aman Yadav,3200.0
Kohliii,Pranav Kohli,3200.0
DOXZ3RRR,Soumyadeep Dey,3200.0
Wenty,"Yang, Geon-mo",3190.0
RoLeX,Warittorn Kalanukarn,3159.84
aLerT,Wattanachok Yingnakorn,3159.84
LBY,Eisuke Kuraoka,3159.84
gtnziN,Gustavo Moura,3097.5
gaabxx,Gabriel Carli,3097.5
CTC,Caio Torres,3097.5
Leozin,Leonardo Quindeler,3097.5
bucher1,Mohammed Yaqoob,3095.0
Persia,"Yang, Zi On",3065.2
Felix,"Park, Hyeon-ho",3065.2
BeYN,"Kang, Ha bin",3065.2
Ruxic,Uğur Güç,3031.03
Ale,Alend Khalaf,3025.04
vicious,Benjamin Guilotte,3025.04
lynxi,Felix Björklund,3025.04
freddan,- -,3025.04
adukaaaa,Arsyad Sazali,3020.0
Brinks,João Silva,3019.75
mazin,Matheus Araújo,3000.0
hazed,James Cobb,3000.0
dgz,Douglas Silva,3000.0
Lorri,Lorrian Elad,3000.0
qck,Gabriel Lima,3000.0
mwzera,Leonardo Serrati,3000.0
Khalil,Khalil Schmidt,3000.0
Life,"Qu, Donghao",3000.0
YHchen,"Zhen-feng, Liu",3000.0
hfmi0dzjc9z7,"Juncheng, Zhang",3000.0
monk,"Haoyu, Wang",3000.0
Bunt,"He, Jiang",3000.0
NcSlasher,Sheldon Andersen,2971.43
budimeister,Oliver Wangge,2971.43
sayoo,Willy Ivandra,2971.43
Mary,Maryam Maher,2960.0
adverso,Benjamín Poblete,2950.0
YanLi,- -,2900.0
leonzhett,Leon Negrini,2833.33
tinchoff,Martin Garcia,2833.33
Cebando,- -,2833.33
NicoMachine,Nicolas Valla,2833.33
M1kE,Michael Smith,2766.88
Winteryrook,Evgeniy Lenko,2725.33
RockeT,Ahmed Mohamed,2725.33
Aljassmi,- -,2720.0
aimhunterr,Khalid Mohammed,2717.86
mNdS,Rafael Mendes,2717.5
v1nny,Vinícius Gonçalves,2717.5
cortezia,Gabriel Cortez,2717.5
xenon,Eduardo Soeiro,2717.5
Masic,Sermet Demirer,2713.03
DeepMans,Yiğithan Kesici,2713.03
cacan,Mert Çaçan,2713.03
Xhowi,Luis Enmanuel Corcino Garcia,2700.0
chloric,- -,2700.0
Dory,Dorian Kaba,2700.0
Logan,Logan Coffey,2700.0
nate,Nathanael Miles,2700.0
toozy,Anthony De Leon,2700.0
N11,- -,2676.31
rezy,Thamer Nagadi,2648.33
Jazzyk1ns,Jasmine Manankil,2600.0
bstrdd,Paula Naguil,2600.0
daiki,Natália Vilela,2600.0
Marzil,Agneya Koushik,2600.0
Clawdia,Claudia Che,2600.0
isaa,Isabeli Esser,2600.0
Joojina,Letícia Paiva,2600.0
Bizerra,Vitoria Vieira,2600.0
akaL4CE,Lacey Dilworth,2600.0
Karra,"Lee, Katherine",2600.0
rayse,- -,2600.0
panday,- -,2600.0
WADDLE,Wadir Taraki,2592.67
phaze,Karim Fouad,2583.34
Aryu,Philip Vergara,2580.0
d1srupt,Nereus Lico,2580.0
ryot,Leon Felipe,2544.75
Matheuzin,Matheus Brito,2544.75
luk,Lucas Soares,2544.75
chase,Davi Mello,2544.75
Vince,Vincent Kranz,2542.13
Secret,"Kim, Ha jin",2531.2
Kuro,Mansour Mohammed Al-Ahmed,2521.67
Evolve,- -,2500.0
Kelyx,- -,2500.0
Meddo,Johan Lundborg,2490.04
Medusa,"An, Min Cheol",2471.6
neth,Yusuke Matsuda,2471.6
popogachi,"Morita, Souta",2471.6
makiba7,- -,2471.6
Meiy,- -,2471.6
Vanity,Anthony Malaspina,2400.0
frostmind,Rafi Diandra,2400.0
ZesBeeW,Sha Mohtar,2400.0
Whimp,Saaransh Dang,2400.0
Elixllo,- -,2400.0
Kaizen,Chogyal Bhutia,2400.0
Akashi,"Châu, Hoàn Thiện Nhân",2372.0
Acerola,"Vũ, Thượng Toàn",2372.0
nTK,"Nguyễn, Tuấn Kiệt",2372.0
DucT,"Hoàng, Trung Đức",2372.0
Moef,"Dương, Phúc Hiếu",2372.0
Leen,- -,2306.67
HANN,"Kim, Dong-ho",2301.0
BiggieCheese,Aidan Gill,2294.17
FETA,Cameron Gill,2294.17
McKinley,Brock Hudson,2294.17
Sinaway,Norshin Yawanis,2294.17
Sandra,Sandra Sherif,2285.96
BaK1,- -,2276.31
C1Gua,- -,2276.31
GG SO HARD,- -,2276.31
Rui2tw,- -,2276.31
Yongyu,- -,2276.31
YungEn,- -,2276.31
SenyorCarL,Carl Carandang,2270.0
Tockers,Gabriel Claumann,2259.75
PEPA,Matheus Coletto,2259.75
duhT,Eduardo Teixeira,2259.75
guuih,Guilherme Mariano,2259.75
Zanatsu,Carlos Eduardo,2259.75
Rexgator,- -,2250.0
xelouz,Saleh Abdulaziz,2246.67
Near,Fahad Salem,2246.67
JustnatioNN,Abdulaziz Salem,2246.67
DeNaro,Matheus Hipólito,2242.5
jaymomo,- -,2236.51
mikasa,- -,2236.51
moon,- -,2236.51
Saikoro,- -,2236.51
zhen,- -,2236.51
Swerl,Ali Kobraee,2228.0
Punda,Lachlan Bamford,2228.0
vong,Vong Nguyen,2223.17
Sw,Jadisson Rayan,2216.5
Dev0,Corey Brame,2206.89
sarah,Sarah Ahmed,2205.08
Danah,Dana Al-Madhoun,2177.96
L1NK,Travis Mendoza,2176.72
Luzuh,Joseph Loose,2176.72
Russ,Russel Mendes,2176.72
Kray,Calum Knight,2176.72
d0rf,"Phạm, Huỳnh Toàn Quốc",2150.0
Nhatthong2k,"Nguyễn, Nhất Thống",2150.0
PTC,Kititkawin Rattanasukol,2128.77
kongared,Nantapol Boonying,2128.77
AloNeFillz,Palapoom Thaikum,2128.77
Kadoom,Kantapon Kingthong,2128.77
b3ta,Puwadon Jaisuekul,2128.77
paura0,Melih Karaduran,2124.5
russ,Batuhan Malgaç,2124.5
RieNs,Enes Ecirli,2124.5
reazy,Kaan Ürpek,2124.5
viness,Nguyễn Tín,2122.0
Kohaibi,Abigail Kong,2100.0
Alexy,Alexandria Francisco,2100.0
shirazi,Kelly Jaudian,2100.0
Kamiyu,Camille Enriquez,2100.0
Amir,- -,2100.0
koki,- -,2100.0
Melvin,- -,2100.0
tsalad,- -,2100.0
RND,Ronaldo Kanashiro,2090.0
sibeastw0w,Anton Govorukhin,2074.0
A1mly,Ameen Dibis,2074.0
dati,Damla Atila,2072.75
Lyda,İlayda Güzeldere,2072.75
Julis,Açelya Özgen,2072.75
Bully,Francisco Betancourt,2035.69
iFly,Naif Ahmed,2031.67
ScreaM,Adil Benrlitom,2000.0
yay,Jaccob Whiteaker,2000.0
pANcada,Bryan Luna,2000.0
TenZ,Tyson Ngo,2000.0
Nivera,Nabil Benrlitom,2000.0
Sacy,Gustavo Rossi,2000.0
dephh,Rory Jackson,2000.0
xms,Alexandre Forté,2000.0
bENITA,Benita Novshadian,2000.0
zekken,Zachary Patrone,2000.0
Shin,Ryad Ensaad,2000.0
vaiZ,Matías Barría,2000.0
